topic,rank,review_excerpt
94,1,o controle remoto nao funciona e ai.recomendo a loja se resolver meu problema ou o controle e so enganaçao mesmo.
94,2,"a chave veio sem pressão , porém veio a chave original"
94,3,É a quarta chave canivete que compro lannister e nenhuma delas Deu para dar ficar na minha chave do meu Vectra outra coisa quero devolver às 4 horas que comprei Que p**** é brincadeira
95,1,"Fiz a compra em 07/12/17, ja passou o prazo de entrega, e aonde esta meu produto? Ficam pondo a culpa no correio, sendo que quem faz a minha entrega é uma pessoa conhecida, e ele me disse que não cheg"
95,2,"A loja foi rapida em preparar o produto para ser postado. Porem os correios nao entregaram o produto, e ja faz mais de um mes."
95,3,"Recebi apenas 1 unidade solicitada, deveriam ser 2, inclusive foi cobrado e consta na nota fiscal. Estou tentando contato com a loja a 4 dias. Informam que vão me mandar por email o contato do fornece | Recebi apenas 1 unidade solicitada, deveriam ser 2, inclusive foi cobrado e consta na nota fiscal"
96,1,Produto de aparência boa porém qualidade baixa não é forrada e o prendedor da alça é de plástico
96,2,"A tesoura de corte é diferente do anunciado cabo de plástico ao invés de metal, baixa qualidade do produto, não recomendo...."
96,3,"Produto de péssima qualidade, um plástico muito fino que com certeza irá ressecar em pouco tempo. Base de plástico muito ruim...Pela foto imaginei um produto pelo menos bem cabado.Enfim não recomendo"
97,1,Comprei achando que o cartucho era original da Canon. Veio cartucho recarregável e não original. O anúncio deveria ser mais claro.
97,2,"comprei o cartucho canon como original, pela embalagem e por falta de informação de que era compatível, e recebi um cartucho compatível, que ao que tudo indica é recarragado. Não era isso que queria."
97,3,"Comprei cartucho para impressora PG40 Canon mandaram cartucho compatível, no anuncio tem até a embalagem da Canon e posso estar enganada (mas acho que não estou) o cartucho é recarregado!?????!?!?!?! | Comprei cartucho para impressora PG40 Canon mandaram cartucho compatível, no anuncio tem até a emb"
98,1,O produto foi entregue na data correta.
98,2,produto entregue na data prevista conforme prazo estipulado.
98,3,produto foi entregue na data limite
99,1,"Material horrível ,totalmente diferente do que apresenta na imagem e na descrição , não vale o valor ."
99,2,"produto de péssima qualidade, estou aguardando contato para devolução. O tecido é transparente, mal costurado e não veio nas medidas. Não condiz com a foto, propaganda enganosa."
99,3,"A descrição do produto não condiz com o que é! Na descrição da compra está: Composição: 100% Algodão. No entanto, na embalagem do produto a descrição é 80% algodão, 20% poliester. | A descrição do produto não condiz com o que é! Na descrição da compra está: Composição: 100% Algodão. No entanto, na e"
100,1,Eu gostei
100,2,Gostei
100,3,"Adorei, chegou super rápido. Perfeito"
101,1,"Comprei um controle remoto para TV Sony, mas o mesmo não funcionou."
101,2,"Comprei um controle remoto de um modelo específico e me enviaram um ""controle universal"" que não funciona no meu aparelho... Não recomendo..."
101,3,comprei um controle de ar de condicionado consul e recebi um controle remoto de televisão
102,1,Gostei do produto | Gostei do produto
102,2,Gostei do produto!
102,3,Gostei do produto.
